PROVINSI,AKOMODASI,KAMAR,TEMPAT TIDUR
ACEH,21,1603,2654
SUMATERA UTARA,124,10296,15509
SUMATERA BARAT,74,4493,7717
RIAU,87,6988,9802
JAMBI,37,2461,3780
SUMATERA SELATAN,76,6161,8811
BENGKULU,9,538,845
LAMPUNG,19,1997,2477
KEP. BANGKA BELITUNG,46,2927,4426
KEP. RIAU,132,13756,19425
DKI JAKARTA,326,46899,60849
JAWA BARAT,463,43034,62725
JAWA TENGAH,291,23516,33530
DI YOGYAKARTA,143,14328,23477
JAWA TIMUR,231,26585,38540
BANTEN,113,10607,15507
BALI,551,52927,78801
NUSA TENGGARA BARAT,83,5678,8328
NUSA TENGGARA TIMUR,24,1830,2541
KALIMANTAN BARAT,41,4269,6204
KALIMANTAN TENGAH,13,968,1496
KALIMANTAN SELATAN,52,4075,6488
KALIMANTAN TIMUR,63,6438,9293
KALIMANTAN UTARA,1,81,113
SULAWESI UTARA,35,3072,3484
SULAWESI TENGAH,16,1492,2361
SULAWESI SELATAN,139,10418,15757
SULAWESI TENGGARA,19,1439,2122
GORONTALO,8,535,804
SULAWESI BARAT,5,164,260
MALUKU,22,1193,1865
MALUKU UTARA,2,116,116
PAPUA BARAT,16,980,1348
PAPUA,32,2187,3156
INDONESIA,3314,314051,454611
